(300, 699, 272, 320)
(300, 698, 271, 324)
(299, 696, 273, 328)
(300, 699, 270, 321)
(297, 696, 275, 325)
(297, 698, 273, 320)
(298, 697, 271, 321)
(298, 698, 270, 320)
(299, 698, 270, 322)
(299, 696, 271, 328)
(299, 697, 272, 324)
(300, 698, 271, 325)
(297, 698, 274, 327)
(300, 698, 272, 325)
(298, 698, 273, 325)
(299, 698, 274, 326)
(301, 698, 268, 324)
(300, 699, 269, 322)
(300, 699, 269, 326)
(299, 698, 271, 326)
(298, 698, 273, 327)
(298, 698, 273, 325)
(300, 698, 271, 324)
(300, 696, 272, 328)
(298, 696, 275, 330)
(297, 696, 275, 329)
(298, 698, 273, 327)
(297, 697, 275, 330)
(298, 698, 274, 325)
(298, 699, 274, 326)
(300, 697, 275, 329)
(300, 698, 272, 329)
(300, 699, 271, 325)
(302, 698, 270, 326)
(301, 697, 273, 329)
(301, 697, 275, 331)
(298, 692, 279, 358)
(305, 693, 282, 357)
(318, 693, 274, 353)
(333, 702, 276, 374)
